"ID Number",Latitude,Longitude
MED-101303,,
MED-101309,,
MED-101302,,
MED-101317,,
MED-101354,,
MED-100400,31.636551,-96.277588
MED-101342,32.667089,-97.39964
MED-101306,32.3906833,-96.8483916
MED-101311,32.3906833,-96.8483916
MED-101312,32.3906833,-96.8483916
MED-101331,32.7569053,-97.7462683
MED-101323,32.9186338,-96.6634035
MED-101324,32.9287365,-97.2539506
MED-101350,33.0144143,-96.7918566
MED-101344,33.0144143,-96.7918566
MED-101301,33.0379436,-97.050993
MED-101326,33.2361815,-96.8019189
MED-101322,32.394599,-96.863466
MED-101346,32.408198,-96.843369
MED-101325,32.4675299,-96.978531
MED-101308,32.4675299,-96.978531
MED-101320,32.6531659,-97.0430121
MED-101349,32.7307604,-97.3433329
MED-101345,32.7311022,-97.3437786
MED-100019,32.735191,-97.347234
MED-101318,32.7883442,-96.7794204
MED-101286,32.79131,-96.78213
MED-101291,32.79131,-96.78213
MED-101292,32.79131,-96.78213
MED-101293,32.79131,-96.78213
MED-101294,32.79131,-96.78213
MED-101295,32.79131,-96.78213
MED-101296,32.79131,-96.78213
MED-101297,32.79131,-96.78213
MED-101298,32.79131,-96.78213
MED-101299,32.79131,-96.78213
MED-101284,32.791621,-96.775947
MED-101314,32.828629,-96.626194
MED-101315,32.828629,-96.626194
MED-101316,32.828629,-96.626194
MED-101304,32.828629,-96.626194
MED-101347,32.8332,-96.962441
MED-100188,32.8350303,-96.7061247
MED-100396,32.8360932,-96.6302276
MED-101285,32.864212,-96.440535
MED-101348,32.911228,-96.951965
MED-101310,32.9176765,-96.6621258
MED-101288,32.9176765,-96.6621258
MED-100291,32.92016,-97.116689
MED-101305,32.927591,-96.747558
MED-101319,33.009752,-96.5453957
MED-101313,33.0826345,-96.7952028
MED-101321,33.102041,-96.840509
MED-101327,33.170375,-96.646443
