"ID Number",Office Name,Address 1,City,State,Zip,DMA,Latitude,Longitude,GeoLocType,DNUC
MED-100399,Quality Care Family Practice,475 E Main St,Patchogue,NY,11772,New York,40.7669632,-72.9976777,ROOFTOP,no
MED-100282,Hospital of St Rapheal Facility Physicians,2 Ivy Brook Rd,Shelton,CT,06484,New York,41.2921021,-73.0876199,ROOFTOP,no
MED-100413,Dr. Domenic W. Casablanca,4 Corporate Dr,Shelton,CT,06484,New York,41.276514,-73.1309282,ROOFTOP,no
MED-100380,Dr. Emmanuel St. Louis,905 Uniondale Ave,Uniondale,NY,11553,New York,40.6915142,-73.5958299,ROOFTOP,no
MED-101147,Dr. Chisara Adonai,1444 Masschusetts Ave,Troy,NY,12180,New York,42.742856,-73.675151,ROOFTOP,no
MED-100119,Westchester Health Associates,60 Golden Bridge Rd,Katonah,NY,10536,New York,41.264142,-73.678567,ROOFTOP,no
MED-100880,"Michael Afshri, MD",216-04 Union Turnpike,Bayside,NY,11364,New York,40.7343004,-73.7548808,RANGE_INTERPOLATED,no
MED-100238,Westchester Institute for Human Development,20 Plaza West,Valhalla,NY,10595,New York,41.0834171,-73.807515,ROOFTOP,no
MED-100745,Westchester Institute for Human Development,20 Plaza West,Valhalla,NY,10595,New York,41.0834171,-73.807515,ROOFTOP,no
MED-101181,Flushing Medical Center,140-14 Cherry Ave,Flushing,NY,11355,New York,40.754025,-73.822124,ROOFTOP,no
MED-100122,Atac Medical Care,1619 Pelham Pkwy,Bronx,NY,10468,New York,40.857826,-73.839291,ROOFTOP,no
MED-100154,Delany Sisters Health Center/233rd Medical Center,821-7 E 233rd St,Bronx ,NY,10466,New York,40.8922891,-73.8536565,RANGE_INTERPOLATED,no
MED-100141,Dr. Joseph Huang,4355 Furman Ave,Bronx,NY,10466,New York,40.896642,-73.854831,ROOFTOP,no
MED-100155,Soundview Health Center,731 White Plains Rd,Bronx,NY,10473,New York,40.8205376,-73.8579442,RANGE_INTERPOLATED,no
MED-100894,Soundview Health Center,731 White Plains Rd,Bronx,NY,10473,New York,40.8205376,-73.8579442,RANGE_INTERPOLATED,no
MED-100129,Dr. Evan Levine,955 Yonkers Ave,Yonkers,NY,10710,New York,40.9172506,-73.8593409,ROOFTOP,no
MED-100140,Cardiology Unlimited,3131 Grand Concourse ,Bronx,NY,10468,New York,40.8751984,-73.8865327,RANGE_INTERPOLATED,no
MED-100895,A-Z Medical,3965 Sedgwick Ave,Bronx,NY,10463,New York,40.882793,-73.889751,ROOFTOP,no
MED-100130,Park Avenue Family Practice,102 Park Ave,Yonkers,NY,10703,New York,40.9436294,-73.8911561,ROOFTOP,no
MED-100737,Park Avenue Family Practice,102 Park Ave,Yonkers,NY,10703,New York,40.9436294,-73.8911561,ROOFTOP,no
MED-100969,Broadway Medical Services,75 S Broadway,Yonkers,NY,10701,New York,40.9314173,-73.8989381,ROOFTOP,no
MED-100128,Dr. Nadem Sayegh,226A W 238th St,Bronx,NY,10074,New York,40.884655,-73.900128,ROOFTOP,no
MED-100125,Dr. Ghazanfar S. Abdullah,108 E 183rd St,Bronx,NY,10453,New York,40.857721,-73.901559,ROOFTOP,no
MED-100123,Dr. Rajesh Patel,2106 Grand Concourse,Bronx,NY,10458,New York,40.8543348,-73.9018262,RANGE_INTERPOLATED,no
MED-100145,Bailey Avenue Medical,2860 Bailey Ave,Bronx,NY,10463,New York,40.8749331,-73.90443,ROOFTOP,no
MED-100963,Heights Medical Care,3636 Fieldston Rd,Riverdale,NY,10463,New York,40.8864128,-73.9067283,RANGE_INTERPOLATED,no
MED-100387,Karibandi Family Practice,471 Hart St,Brooklyn,NY,11221,New York,40.695236,-73.931859,ROOFTOP,no
MED-100120,Urgent Medical Care,4120 Broadway,New York,NY,10033,New York,40.8457019,-73.9384697,ROOFTOP,no
MED-100245,Greenpoint Medical,146 Norman Ave,Brooklyn,NY,11222,New York,40.7263517,-73.9486995,ROOFTOP,no
MED-100407,Dr. Gerald Valme,1010 Ocean Ave,Brooklyn,NY,11226,New York,40.637882,-73.959016,ROOFTOP,no
MED-101129,"Brooklyn Family Medical Care, PC",60 Plaza St E,Brooklyn,NY,11238,New York,40.6742792,-73.9686821,ROOFTOP,no
MED-100379,Dr. Philip Varriale ,222 E 19th St,New York,NY,10003,New York,40.735812,-73.984144,ROOFTOP,no
MED-100797,Dr. Nanjappa Ravi & Dr. Victoria Perez,354 Old Hook Rd,Westwood,NJ,07675,New York,40.9827398,-74.0096896,ROOFTOP,no
MED-101338,Atlantic Women's Medical Center,240 Wall St,West Long Branch,NJ,07764,New York,40.2842259,-74.02251,ROOFTOP,no
