State	NPA-NXX	Ocn 	Company                                                     	RateCenter 	EffectiveDate	Use	AssignDate	Initial/Growth File Updated 01/16/2012
DC 	202-200	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	01/19/2011	G 
DC 	202-201	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	10/19/2005	G 
DC 	202-202	    	                                                            	           	          	UA	          	  
DC 	202-203	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-204	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-205	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-206	6630	"USA MOBILITY WIRELESS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-207	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-208	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-209	6630	"USA MOBILITY WIRELESS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-210	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-211	    	                                                            	           	          	UA	          	  
DC 	202-212	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	12/12/2006	G 
DC 	202-213	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-214	6630	"USA MOBILITY WIRELESS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-215	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-216	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-217	6630	"USA MOBILITY WIRELESS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-218	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-219	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-220	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-221	8605	"MTE, INC. DBA MTE PAGING NETWORK"                          	WSHNGTNZN1 	          	AS	          	  
DC 	202-222	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-223	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-224	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-225	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-226	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-227	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-228	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-229	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-230	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-231	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-232	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-233	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-234	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-235	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-236	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
