"ID Number","Address 1",City,State,Zip,Latitude,Longitude,GeoLocType,DNUC
MED-101303,"2520 N Central Expwy",Richardson,TX,75080,32.9885491,-96.7100433,RANGE_INTERPOLATED,no
MED-101309,"301 E Ovilla Rd","Red Oak",TX,75154,32.5318006,-96.8503694,RANGE_INTERPOLATED,no
MED-101302,"900 W Magnolia","Fort Worth",TX,76104,32.7307799,-97.3334941,ROOFTOP,no
MED-101317,"3600 Gaston Ave",Dallas,TX,75246,32.7909696,-96.7803623,ROOFTOP,no
MED-101343,"226 S Woodsmill Rd",Chesterfield,MO,63017,38.6261146,-90.5158389,RANGE_INTERPOLATED,no
MED-101336,"307 Live Oak",Marlin,TX,76661,31.3063204,-96.8936933,RANGE_INTERPOLATED,no
MED-101353,"111 Park St",Hartford,CT,06106,41.7573616,-72.6779967,RANGE_INTERPOLATED,no
MED-101352,"111 Park St",Hartford,CT,06106,41.7573616,-72.6779967,RANGE_INTERPOLATED,no
MED-101351,"808 S Main St",Huron,OH,44839,41.389246,-82.5602078,RANGE_INTERPOLATED,no
MED-101354,"2020 Texas 114 Frontage Rd",Grapevine,TX,76051,32.9369014,-97.0972409,ROOFTOP,no
MED-101338,"240 Wall St","West Long Branch",NJ,07764,40.2842259,-74.02251,ROOFTOP,no
