"ID Number","Address 1",City,State,Zip,Latitude,Longitude,GeoLocType,DNUC
MED-100133,"20206 Farmington Rd",Livonia,MI,48152,42.4359909,-83.3752997,RANGE_INTERPOLATED,no
MED-100216,"1570 Island Lane","Orange Park",FL,32003,30.1030959,-81.7104526,RANGE_INTERPOLATED,no
MED-100238,"326 Cedarwood Hall",Valhalla,NY,10595,41.0748188,-73.7751326,APPROXIMATE,no
MED-100392,"4131 University Blvd",Jacksonville,FL,32216,30.281582,-81.601859,ROOFTOP,no
MED-100467,"3374 Greystone Way",Valdosta,GA,31605,30.8825,-83.2954,ROOFTOP,no
MED-100523,"6255 Chamberburg Rd","Huber Heights",OH,45424,39.847556,-84.115047,ROOFTOP,no
MED-100541,"119 Neurology Way",Milford,DE,19963,38.9316212,-75.4553488,RANGE_INTERPOLATED,no
MED-100621,"1300 Franklin Ave",Normal,IL,61761,40.497841,-88.991056,ROOFTOP,no
MED-100702,"3140 W Irving Park Rd",Chicago,IL,60618,41.9540216,-87.7071829,ROOFTOP,no
MED-100777,"26015 Greenfield Rd",Southfield,MI,48076,42.4812972,-83.2022494,RANGE_INTERPOLATED,no
MED-101137,"3958 Leap Rd",Hilliard,OH,43026,40.033949,-83.138614,ROOFTOP,no
MED-100386,"2095 N Dolores Rd",Cortez,CO,81321,37.370728,-108.555056,ROOFTOP,no
MED-100909,"395 Northwood Dr",Centre,AL,35960,34.1628468,-85.6397642,RANGE_INTERPOLATED,no
MED-101100,"915 Medical Center Dr",Bessemer,AL,35022,33.371537,-86.9892121,RANGE_INTERPOLATED,no
MED-101005,"201 Mariarden Rd",Dadeville,AL,36853,32.8200176,-85.7415985,RANGE_INTERPOLATED,no
MED-100967,"705 Baptiste Dr",Paola,KS,66071,38.5766171,-94.8683936,RANGE_INTERPOLATED,no
MED-101018,"1280 Windham Pkwy",Romeoville,IL,60446,41.662861,-88.123791,ROOFTOP,no
MED-101144,"6511 Johnson Dr",Mission,KS,66202,39.0221455,-94.6611489,RANGE_INTERPOLATED,no
MED-100682,"10900 SE 174th Place Rd",Summerfield,FL,34491,28.968335,-81.972566,ROOFTOP,no
MED-100828,"5575 Conner St",Detroit,MI,48213,42.3926738,-82.9827006,RANGE_INTERPOLATED,no
MED-100942,"22972 Lasher Rd",Southfield,MI,48033,42.4572579,-83.2600295,RANGE_INTERPOLATED,no
MED-101115,"3350 Gratiot Blvd",Marysville,MI,48040,42.910869,-82.498572,ROOFTOP,no
MED-101130,"33722 Woodward",Birmingham,MI,48009,42.537082,-83.204484,ROOFTOP,no
MED-101076,"2175 Charbonier Rd",Florissant,MO,63031,38.8093438,-90.3595227,RANGE_INTERPOLATED,no
MED-100761,"3126 Blue Ridge Rd",Raleigh,NC,27612,35.822067,-78.702636,RANGE_INTERPOLATED,no
MED-100872,"705 Candle Wood Commons",Howell,NJ,07731,40.1407113,-74.2061931,APPROXIMATE,no
MED-100879,"35 Facility Dr",Clyde,NC,28721,35.5269939,-82.9411211,RANGE_INTERPOLATED,no
MED-100846,"100 Cross Keys Office Parks",Fairport,NY,14450,43.0707988,-77.4341507,GEOMETRIC_CENTER,no
MED-100961,"1024 Hilton Parma Corners Rd",Hilton,NY,14468,43.272079,-77.790253,ROOFTOP,no
MED-101240,"405 Liberty St",Perryoplois,PA,15473,40.084102,-79.7515839,ROOFTOP,no
MED-100851,"210 Overland Dr",Greenwood,SC,29646,34.1703029,-82.157113,ROOFTOP,no
MED-100193,"1609 Constitution Blvd","Rock Hill",SC,29732,34.952622,-81.049721,ROOFTOP,no
MED-100907,"1520 Laurel St",Columbia,SC,29201,34.010714,-81.030996,ROOFTOP,no
MED-101132,"300 Maple St",Hampton,SC,29924,32.8691424,-81.1096003,RANGE_INTERPOLATED,no
MED-101015,"500  Hospital Dr",Trenton,TN,38382,35.962738,-88.9391641,RANGE_INTERPOLATED,no
MED-100403,"8725 S Tacoma Way",Lakewood,WA,98499,47.1781706,-122.4837881,RANGE_INTERPOLATED,no
MED-100812,"1197 Van Voorhis Rd",Morgantown,WV,26505,39.659005,-79.963781,ROOFTOP,no
MED-101054,"1835 Kingshighway","Washington Park",IL,62204,38.6335989,-90.0931136,RANGE_INTERPOLATED,no
MED-100861,"38 Oakes Ave",Southbridge,MA,01550,42.0780395,-72.0409482,RANGE_INTERPOLATED,no
MED-100120,"4120 Broadway","New York",NY,10033,40.8457019,-73.9384697,ROOFTOP,no
MED-100695,"4441 Far Hills Ave",Kettering,OH,45429,39.682534,-84.1671158,RANGE_INTERPOLATED,no
MED-100896,"115 Beattie Park Rd",Piedmont,SC,29673,34.699262,-82.47012,ROOFTOP,no
MED-100218,"19745 Executive Park Circle",Germantown,MD,20874,39.1808261,-77.2734281,RANGE_INTERPOLATED,no
MED-100123,"2106 Grand Concourse",Bronx,NY,10458,40.8543348,-73.9018262,RANGE_INTERPOLATED,no
MED-100130,"102 Park Ave",Yonkers,NY,10703,40.9436294,-73.8911561,ROOFTOP,no
MED-100704,"922 Fairfax Park",Tuscaloosa,AL,35406,33.2389413,-87.5484461,RANGE_INTERPOLATED,no
MED-100811,"3927 Rosewood Way",Orlando,FL,32808,28.6083922,-81.4280732,RANGE_INTERPOLATED,no
MED-100032,"8988 Lorton Blvd",Lorton,VA,22079,38.7146533,-77.2125852,ROOFTOP,no
MED-100046,"102 Schubert Dr",Dowingtown,PA,19335,40.0309412,-75.6802519,RANGE_INTERPOLATED,no
MED-100057,"30626 Ford Rd","Garden City",MI,48135,42.325586,-83.343169,ROOFTOP,no
MED-100058,"2011 Middlebelt Rd","Garden City",MI,48135,42.324305,-83.331466,ROOFTOP,no
MED-100083,"24661 Coolidge ","Oak Park",MI,48237,42.4728382,-83.1827343,ROOFTOP,no
MED-100109,"6200 Middlebelt ","Garden City",MI,48135,42.330895,-83.330447,ROOFTOP,no
MED-100831,"37595 Seven Mile Rd",Livonia,MI,48152,42.4252177,-83.4169942,RANGE_INTERPOLATED,no
MED-100932,"43535 Grand River",Novi,MI,48375,42.4810796,-83.4768528,RANGE_INTERPOLATED,no
MED-100707,"8742 Goodwood Blvd","Baton Rouge",LA,70806,30.4425852,-91.0937179,ROOFTOP,no
MED-101028,"103 Carter Park Dr",Seneca,SC,29678,34.6847939,-82.988142,ROOFTOP,no
MED-101134,"11378 State Bridge Rd",Alpharetta,GA,30022,34.0575341,-84.2326611,RANGE_INTERPOLATED,no
MED-101156,"7730 E McDowell Rd",Scotsdale,AZ,85257,33.46682,-111.913107,ROOFTOP,no
MED-101160,"6703 W 159th St","Tinley Park",IL,60477,41.6024106,-87.78275,RANGE_INTERPOLATED,no
MED-101193,"12143 Navajo Rd","Apple Valley",CA,92308,34.47239,-117.189714,ROOFTOP,no
MED-101198,"4321 S Pulaski Rd",Chicago,IL,60632,41.8145141,-87.7237063,RANGE_INTERPOLATED,no
MED-100103,"190 Grand Seasons Dr",Waupaca,WI,54981,44.358344,-89.119614,ROOFTOP,no
MED-100163,"1325 Eastmoreland Ave",Memphis,TN,38104,35.13465,-90.017166,ROOFTOP,no
MED-100164,"7945 Wolf River Blvd",Germantown,TN,38183,35.110676,-89.798321,ROOFTOP,no
MED-100508,"7945 Wolf River Blvd",Germantown,TN,38138,35.110676,-89.798321,ROOFTOP,no
MED-100509,"7945 Wolf River Blvd",Germantown,TN,38138,35.110676,-89.798321,ROOFTOP,no
MED-100510,"7945 Wolf River Blvd",Germantown,TN,38138,35.110676,-89.798321,ROOFTOP,no
MED-100511,"7945 Wolf River Blvd",Germantown,TN,38138,35.110676,-89.798321,ROOFTOP,no
MED-100732,"7685 Winchester Rd",Memphis,TN,38125,35.0499462,-89.8095161,RANGE_INTERPOLATED,no
MED-100281,"1441 Chapel St","New Haven",CT,06511,41.3111284,-72.9434339,RANGE_INTERPOLATED,no
MED-100499,"255 W Lancaster Ave",Paoli,PA,19301,40.0440589,-75.5014583,ROOFTOP,no
MED-100500,"85 Old Eagle School Rd",Strafford,PA,19087,40.0488209,-75.403629,ROOFTOP,no
MED-100562,"3760 Atlantic Ave","Long Beach",CA,90807,33.826315,-118.184594,ROOFTOP,no
MED-100563,"18326 Pioneer Blvd",Artesia,CA,90701,33.8649427,-118.081997,ROOFTOP,no
MED-100631,"10330 Sawmill Pkwy",Powell,OH,43065,40.145589,-83.094434,ROOFTOP,no
MED-100633,"1906 Tamarack Rd",Newark,OH,43055,40.0390573,-82.4656351,RANGE_INTERPOLATED,no
MED-100677,"1100 Johnson Ferry Rd",Atlanta,GA,30342,33.9066265,-84.3494007,ROOFTOP,no
MED-100678,"1519 Johnson Ferry Rd",Marietta,GA,30062,33.9868361,-84.4272549,ROOFTOP,no
MED-100679,"3890 Johns Creek Pkwy",Suwanee,GA,30024,34.067692,-84.162828,ROOFTOP,no
MED-100771,"708 W Esplanade Ave",Kenner,LA,70065,30.0215874,-90.2583364,RANGE_INTERPOLATED,no
MED-100816,"8112 Delmar Blvd","St. Louis",MO,63130,38.659992,-90.3475629,ROOFTOP,no
MED-100870,"17320 Panama City Beach Pkwy","Panama City Beach",FL,32413,30.232749,-85.894165,ROOFTOP,no
MED-100926,"310 S Pecos",Coleman,TX,76834,31.8288059,-99.4254174,ROOFTOP,no
MED-100927,"310 S Pecos",Coleman,TX,76834,31.8288059,-99.4254174,ROOFTOP,no
MED-101021,"5140 N California Ave",Chicago,IL,60625,41.9758389,-87.6992293,ROOFTOP,no
MED-101031,"1306 W Collin Raye Dr",DeQueen,AR,71832,34.046118,-94.3578346,RANGE_INTERPOLATED,no
MED-101032,"1306 W Collin Raye Dr",DeQueen,AR,71832,34.046118,-94.3578346,RANGE_INTERPOLATED,no
MED-101033,"1306 W Collin Raye Dr",DeQueen,AR,71832,34.046118,-94.3578346,RANGE_INTERPOLATED,no
MED-101045,"214 E Michigan Ave",Albion,MI,49224,42.2468401,-84.7512402,RANGE_INTERPOLATED,no
MED-101175,"106 Ram Cat Alley",Seneca,SC,29678,34.68468,-82.954367,ROOFTOP,no
MED-101224,"607 Donna Way","San Jacinto",CA,92583,33.781945,-116.936696,ROOFTOP,no
MED-101230,"607 Donna Way","San Jacinto",CA,92583,33.781945,-116.936696,ROOFTOP,no
MED-100815,"8112 Delmar Blvd","St. Louis",MO,63130,38.659992,-90.3475629,ROOFTOP,no
MED-100274,"8813 River Crossing Blvd","New Port Richey",FL,34655,28.2374432,-82.6702804,RANGE_INTERPOLATED,no
MED-100512,"9870 Telegraph Rd",Taylor,MI,48180,42.2334172,-83.2696861,RANGE_INTERPOLATED,no
MED-101142,"12212 W Washington Blvd","Los Angeles",CA,90066,34.000043,-118.4283,ROOFTOP,no
MED-101179,"76 Tabb Dr",Munford,TN,38058,35.443964,-89.791728,ROOFTOP,no
MED-100200,"5580 E Grant St",Orlando,FL,32822,28.516462,-81.312648,ROOFTOP,no
MED-100498,"599 Arcola Rd",Collegeville,PA,19426,40.1653104,-75.4742986,ROOFTOP,no
MED-101239,"8888 Ladue Rd","St. Louis",MO,63124,38.651324,-90.351573,ROOFTOP,no
MED-100037,"2600 Glasgow Ave",Newark,DE,19702,39.599125,-75.745171,ROOFTOP,no
MED-100066,"7130 Heritage Village Plaza",Gainesville,VA,20155,38.80355,-77.603238,ROOFTOP,no
MED-100071,"12301 Lake Underhill Rd",Orlando,FL,32828,28.5479426,-81.2029338,ROOFTOP,no
MED-100101,"2520 Windy Hill Rd",Marietta,GA,30067,33.9005777,-84.4799817,ROOFTOP,no
MED-100116,"2701 Blair Mill Rd","Willow Grove",PA,19090,40.164995,-75.132257,ROOFTOP,no
MED-100127,"165 Rowland Way",Novato,CA,94949,38.098446,-122.560558,ROOFTOP,no
MED-100126,"2 Bon Air",Larkspur,CA,94939,37.943291,-122.539077,ROOFTOP,no
MED-100132,"10501 Telegraph Rd","Taylor ",MI,48180,42.229895,-83.268329,ROOFTOP,no
MED-100156,"144 169th St S ",Spanaway,WA,98387,47.10336,-122.434216,ROOFTOP,no
MED-100157,"728 Molalla Ave","Oregon City",OR,97045,45.345246,-122.596903,ROOFTOP,no
MED-100158,"1400 N Wilmot Rd",Tucson,AZ,85712,32.2396882,-110.8577678,RANGE_INTERPOLATED,no
MED-100159,"23077 Greenfield Rd",Southifeld,MI,48075,42.46017,-83.2017581,ROOFTOP,no
MED-100162,"23800 Orchard Lake Rd","Farmington Hills",MI,48336,42.467477,-83.35606,ROOFTOP,no
MED-100165,"8110 Cordova Rd",Cordova,TN,38016,35.158668,-89.792495,ROOFTOP,no
MED-100190,"5401 Norris Canyon Road","San Ramon",CA,94587,37.777207,-121.958166,ROOFTOP,no
MED-100197,"106 Irving St NW","Washington ",DC,20010,38.928935,-77.013602,ROOFTOP,no
MED-100219,"20500 Seneca Meadows Pkwy",Germantown,MD,20876,39.1976388,-77.2580719,ROOFTOP,no
MED-100257,"10296 Big Bend Blvd","St. Louis",MO,63122,38.567456,-90.432097,GEOMETRIC_CENTER,no
MED-100262,"1533 Alamitos Ave","Long Beach",CA,90813,33.7870365,-118.1767315,ROOFTOP,no
MED-100291,"3105 Ira E Woods Ave",Grapevine,TX,76051,32.92016,-97.116689,ROOFTOP,no
MED-100296,"2900 12th Ave N",Billings,MT,59101,45.7928542,-108.518493,RANGE_INTERPOLATED,no
MED-100426,"355 Daniel Dr","Santa Maria",CA,93454,34.924045,-120.432411,ROOFTOP,no
MED-100542,"10909 Atlantic Blvd",Jacksonville,FL,32225,30.325139,-81.518215,ROOFTOP,no
MED-100546,"5535 Delmar Blvd","St. Louis",MO,63112,38.654178,-90.280339,ROOFTOP,no
MED-100604,"4126 Southwest Frwy",Houston,TX,77027,29.7297578,-95.4449639,ROOFTOP,no
MED-100637,"130 Marvin Rd SE",Lacey,WA,98503,47.055731,-122.763909,ROOFTOP,no
MED-100683,"1111 Superior St","Melrose Park",IL,60160,41.8925201,-87.8470704,RANGE_INTERPOLATED,no
MED-100688,"13768 Roswell Ave",Chino,CA,91710,34.003471,-117.722497,ROOFTOP,no
MED-100703,"85 Seymour St",Hartford,CT,06102,41.7544101,-72.6812874,ROOFTOP,no
MED-100720,"714 Gravois Rd",Fenton,MO,63026,38.5116746,-90.4458735,ROOFTOP,no
MED-100721,"10330 Sawmill Pkwy",Powell,OH,43065,40.145589,-83.094434,ROOFTOP,no
MED-100729,"1601 Tanglewood Ave","Hanover Park",IL,60133,42.0041876,-88.1450802,ROOFTOP,no
MED-100735,"2 Bon Air",Larkspur,CA,94939,37.943291,-122.539077,ROOFTOP,no
MED-100736,"2 Bon Air",Larkspur,CA,94939,37.943291,-122.539077,ROOFTOP,no
MED-100737,"102 Park Ave",Yonkers,NY,10703,40.9436294,-73.8911561,ROOFTOP,no
MED-100745,"326 Cedarwood Hall",Valhalla,NY,10595,41.0748188,-73.7751326,APPROXIMATE,no
MED-100758,"280 Wekiva Springs Rd",Longwood,FL,32779,28.690708,-81.407422,ROOFTOP,no
MED-100779,"1223 Gateway Dr",Melbourne,FL,32901,28.0895774,-80.6502056,ROOFTOP,no
MED-100780,"7125 Murrell Rd",Viera,FL,32940,28.2370545,-80.7129344,ROOFTOP,no
MED-100792,"4020 Venoy Rd",Wayne,MI,48184,42.279151,-83.36403,ROOFTOP,no
MED-100800,"3214 Charles B. Root Wynd",Raleigh,NC,27612,35.826774,-78.70853,ROOFTOP,no
MED-100802,"1875 Dempster St","Park Ridge",IL,60068,42.038564,-87.848749,ROOFTOP,no
MED-100807,"61 Monroe Ave",Pittsford,NY,14534,43.091094,-77.521578,ROOFTOP,no
MED-100808,"200 W Esplanade ",Kenner,LA,70065,30.0231754,-90.2713489,ROOFTOP,no
MED-100810,"3645 Stone Creek Blvd",Cincinnati,OH,45251,39.2529296,-84.6002779,RANGE_INTERPOLATED,no
MED-100814,"2740 W Foster Ave",Chicago,IL,60625,41.9759967,-87.6978356,ROOFTOP,no
MED-100821,"1005 Talbottom Rd",Columbus,GA,31904,32.4840355,-84.9810006,ROOFTOP,no
MED-100832,"2050 Haggerty Rd",Canton,MI,48187,42.3215764,-83.4488779,RANGE_INTERPOLATED,no
MED-100834,"2400 Wayne Memorial Dr",Goldsboro,NC,27534,35.3979914,-77.959874,ROOFTOP,no
MED-100838,"115 Pirie Rd",Ojai,CA,93023,34.4426111,-119.2658364,RANGE_INTERPOLATED,no
MED-100841,"59 Main St","West Orange",NJ,07052,40.777752,-74.238148,ROOFTOP,no
MED-100848,"211 Milliken Blvd","Fall River",MA,02721,41.700521,-71.159718,ROOFTOP,no
MED-100850,"483 Upper Riverdale Rd",Riverdale,GA,30274,33.5723129,-84.4066467,RANGE_INTERPOLATED,no
MED-100862,"1758 Park Pl",Montgomery,AL,36106,32.368383,-86.284747,ROOFTOP,no
MED-100863,"307 Live Oak St",Marlin,TX,76661,31.3063204,-96.8936933,RANGE_INTERPOLATED,no
MED-100864,"307 Live Oak St",Marlin,TX,76661,31.3063204,-96.8936933,RANGE_INTERPOLATED,no
MED-100865,"307 Live Oak St",Marlin,TX,76661,31.3063204,-96.8936933,RANGE_INTERPOLATED,no
MED-100874,"2326 18th St",Columbus,IN,47201,39.2168497,-85.8983993,RANGE_INTERPOLATED,no
MED-100875,"2010 West Chester Park",Havertown,PA,19083,39.9734766,-75.312064,APPROXIMATE,no
MED-100877,"2121 Ridge Ave",Aurora,IL,60564,41.72933,-88.2618413,RANGE_INTERPOLATED,no
MED-100884,"360 Tolland Turnpike",Manchester,CT,06040,41.809142,-72.521889,ROOFTOP,no
